competition,season,matchday,home_team,away_team,home_goals,away_goals,source_url
ucl,2024-25,4,Bayern Munich,Benfica,1,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,5,Sparta Prague,Atlético Madrid,0,6,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,5,Slovan Bratislava,Milan,2,3,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,5,Bayer Leverkusen,Red Bull Salzburg,5,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,5,Young Boys,Atalanta,1,6,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,5,Barcelona,Brest,3,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,5,Bayern Munich,Paris Saint-Germain,1,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,5,Inter Milan,RB Leipzig,1,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,5,Manchester City,Feyenoord,3,3,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,5,Sporting CP,Arsenal,1,5,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,5,Red Star Belgrade,VfB Stuttgart,5,1,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,5,Sturm Graz,Girona,1,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,5,Monaco,Benfica,2,3,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,5,Aston Villa,Juventus,0,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,5,Bologna,Lille,1,2,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,5,Celtic,Club Brugge,1,1,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,5,Dinamo Zagreb,Borussia Dortmund,0,3,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,5,Liverpool,Real Madrid,2,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,5,PSV Eindhoven,Shakhtar Donetsk,3,2,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,6,Girona,Liverpool,0,1,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,6,Dinamo Zagreb,Celtic,0,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,6,Atalanta,Real Madrid,2,3,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,6,Bayer Leverkusen,Inter Milan,1,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
